Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
100 Darter (S.L. Industries),Piston,285,238,225,67,102,"1,790",1662,1790,"5,500","3,292",29/6,36/9,807,2820000
"188A,B Ag Wagon ('67-'71) fixed-prop normal",Piston,285,239,226,66,102,"1,862",1590,1790,"5,400","3,292",29/3,36/9,807,2860000
100 Darter (S.L. Industries),Piston,285,207,194,70,102,"1,662",1700,1790,"5,500","3,603",31/11,36/11,661,1975000
A185 F (float) (prior '79 = 4-8 gal less fuel),Piston,260,205,192,63,102,"1,495",1795,1697,"5,300","3,214",29/6,36/9,680,1950000
A185 F II Skywagon (prior '81=less perform),Piston,260,206,193,62,102,"1,540",1716,1673,"5,200","3,170",29/2,36/9,676,1990000
100 Darter (S.L. Industries),Piston,260,206,193,65,102,"1,540",1716,1582,"5,200","3,125",29/5,36/11,676,1990000
185 E Skywagon,Piston,260,207,194,65,102,"1,590",1640,1540,"5,100","3,094",29/6,36/11,687,2030000
100 Darter (S.L. Industries),Piston,260,209,194,65,102,"1,690",1545,1900,"5,100","3,063",29/5,37/5,687,2110000
R182 II RG Turbo Skylane,Piston,260,210,191,73,102,"1,800",1395,1720,"4,990","3,049",29/5,36/9,678,2130000
100 Darter (S.L. Industries),Piston,240,191,178,71,102,"1,700",1375,1710,"4,600","2,850",27/1,36/1,640,1950000
T-182R II Turbo Skylane,Piston,250,216,180,62,155,"1,480",1750,1450,"5,000","3,305",30/5,38/10,835,2500000
100 Darter (S.L. Industries),Piston,225,211,204,62,150,"1,170",1500,1675,"4,700","3,184",29/10,38/2,939,2000000
182T Skylane,Piston,210,207,200,62,90,"1,160",1675,1650,"4,630","3,038",29/10,38/2,"1,080",2000000
100 Darter (S.L. Industries),Piston,210,200,194,61,93,"1,105",1675,1650,"4,630","2,850",29/10,38/2,920,2930000
182R II (1981 & up),Piston,210,201,195,61,93,"1,155",1595,1650,"4,500","2,815",29/10,38/0,920,3010000
100 Darter (S.L. Industries),Piston,210,201,195,59,93,"1,155",1595,1520,"4,500","2,795",29/10,38/0,920,3010000
182 N Skylane,Piston,210,202,196,57,93,"1,250",1490,1500,"4,300","2,785",29/1,38/0,920,3100000
100 Darter (S.L. Industries),Piston,210,172,169,61,90,940,1675,1650,"4,630","2,925",29/9,38/2,"1,139",1630000
"182 E,F,G,H",Piston,210,173,165,61,93,"1,100",1675,1650,"4,630","2,695",29/9,38/2,920,1800000
100 Darter (S.L. Industries),Piston,210,173,166,60,93,"1,180",1565,1650,"4,440","2,660",29/9,38/2,922,1930000
182,Piston,210,173,166,60,93,"1,200",1545,1650,"4,400","2,655",29/9,38/0,920,1950000
100 Darter (S.L. Industries),Piston,210,173,166,58,93,"1,200",1545,1520,"4,400","2,650",29/9,38/0,922,1950000
"180J,K amphib prior'76=4 gal more fuel (range w/80 gal fuel)",Piston,210,174,167,57,93,"1,250",1490,1500,"4,300","2,615",29/9,38/0,922,2000000
100 Darter (S.L. Industries),Piston,210,174,167,55,93,"1,200",1435,1465,"4,200","2,615",29/9,38/0,922,2050000
"180J,K (ski) (prior'79=15,600 serv. ceil, less fuel)",Piston,210,159,150,52,93,"1,300",1145,1395,"3,900","2,320",29/7,38/0,880,1900000
100 Darter (S.L. Industries),Propjet,675,182,154,61,335,"1,234",2053,1655,"8,000","3,973",37/6,52/1,866,2500000
180,Propjet,675,186,154,61,335,975,2420,1880,"8,750","4,765",41/7,52/1,810,2370000
100 Darter (S.L. Industries),Piston,310,235,235,60,388,1400,,,3600,2350,25/2,36,1270,2500000
177 RG Cardinal,Piston,325,224,212,55,85,"1,150",2110,1600,"4,100","2,471",28/4,38/10,715,2500000
100 Darter (S.L. Industries),Piston,310,201,191,58,90,945,2160,1500,"4,000","2,481",28/2,36/9,661,2300000
177 B (thru'74)'70-'71 lgt=27/0 & hgt=9/1,Piston,325,224,207,55,87,"1,150",2110,1600,"4,100","2,320",28/4,38/10,715,2900000
100 Darter (S.L. Industries),Piston,310,204,192,58,90,930,2160,1500,"4,000","2,303",28/2,36/9,715,2700000
177 Cardinal,Piston,310,204,197,57,90,"1,030",1900,1500,"3,800","2,306",28/2,36/9,732,2850000
100 Darter (S.L. Industries),Piston,285,205,187,57,90,930,2030,1500,"3,800","2,180",28/3,36/9,732,2850000
"175,-A,-B",Piston,285,203,194,55,89,"1,115",1365,1355,"3,400","2,050",28/3,36/9,739,3020000
100 Darter (S.L. Industries),Piston,285,200,191,54,65,"1,280",1265,1340,"3,300","1,965",28/0,36/7,539,3130000
172 Q Cutlass,Piston,300,175,,53,87,"1,060",2050,1585,"3,850","2,220",28/2,38/10,600,1600000
100 Darter (S.L. Industries),Piston,300,174,170,57,90,950,2030,1500,"3,800","2,219",28/2,36/9,600,1730000
172S Skyhawk SP,Piston,285,174,167,55,90,"1,000",1365,1355,"3,400","1,960",28/3,36/9,760,1830000
100 Darter (S.L. Industries),Piston,285,172,165,54,65,"1,115",1265,1340,"3,300","1,865",28/0,36/7,640,1990000
172 P II Skyhawk,Piston,285,173,166,53,65,"1,210",1110,1275,"3,100","1,860",28/4,36/7,640,2100000
100 Darter (S.L. Industries),Piston,260,170,160,52,65,"1,270",1210,1110,"3,000","1,780",27/3,36/6,680,2030000
172 M Skyhawk ('76=4 mph more speed),Piston,260,173,165,51,65,"1,300",1135,1190,"2,900","1,740",27/3,36/5,700,2070000
100 Darter (S.L. Industries),Piston,310,170,161,59,61,885,1860,1500,"3,800","2,254",32/2,35/10,583,2600000
R172K/Hawk XP (floats),Piston,300,150,143,59,61,810,1970,1500,"3,800","2,177",32/2,35/10,612,1330000
100 Darter (S.L. Industries),Piston,310,155,135,52,92,835,2790,1750,"3,600","2,404",29/8,35/10,640,2560000
172 M (float plane 1974-76),Piston,285,157,143,50,65,950,2400,1610,"3,600","2,295",28/6,35/10,626,2420000
100 Darter (S.L. Industries),Piston,300,137,131,51,92,925,2820,1675,"3,500","2,342",29/8,35/10,680,1390000
172 K & L float plane,Piston,300,136,130,53,61,855,2475,1570,"3,500","2,312",29/8,35/10,580,1390000
100 Darter (S.L. Industries),Piston,300,136,131,49,65,855,2475,1570,"3,500","2,200",28/6,35/10,510,1390000
"172,-D,-E,-F,-G,-H",Piston,300,136,131,,65,855,2475,1570,"3,500","2,060",28/6,36/10,510,1390000
100 Darter (S.L. Industries),Piston,285,145,132,61,65,920,,,"3,300","2,165",28/8,35/10,626,2350000
100 Darter (S.L. Industries),Piston,300,121,119,52,65,800,,,"3,300","2,065",28/8,35/10,510,1150000
"170,-A,-B",Piston,310,174,152,54,92,"1,010",1640,1395,"3,600","2,066",28/3,35/10,640,2700000
100 Darter (S.L. Industries),Piston,285,174,148,53,65,"1,030",1810,1395,"3,600","1,935",28/9,35/10,580,2630000
"150M, A150M (Aerobat span=32/9)",Piston,285,174,160,53,65,"1,030",1810,1395,"3,600","1,795",27/8,36/7,627,2630000
100 Darter (S.L. Industries),Piston,300,156,147,54,92,920,1780,1395,"3,600","2,002",28/3,35/10,680,1480000
A 150 L Aerobat (1974),Piston,300,151,143,53,65,920,1780,1395,"3,600","1,725",28/8,36/7,510,1480000
100 Darter (S.L. Industries),Piston,285,151,142,53,65,920,1810,1340,"3,600","1,795",27/9,36/7,555,1480000
"150 H,J,K (K=8/8 height)",Piston,285,154,144,52,65,"1,075",1265,1340,"3,300","1,760",27/9,36/7,563,1670000
100 Darter (S.L. Industries),Piston,285,174,160,53,65,"1,030",1810,1395,"3,600","1,915",28/3,36/7,609,2630000
"150 D,-E,-F,-G",Piston,310,178,150,54,92,"1,050",1740,1395,"3,600","2,351",28/3,36/0,713,2700000
100 Darter (S.L. Industries),Piston,300,151,142,54,92,988,1860,1395,"3,600","2,351",28/3,36/0,713,1570000
150,Piston,285,151,142,53,65,920,1810,1395,"3,600","1,820",28/3,36/7,555,1480000
100 Darter (S.L. Industries),Piston,285,154,143,52,65,"1,075",1265,1340,"3,300","1,790",28/2,36/6,565,1670000
140,Piston,260,145,138,50,65,965,1465,1510,"3,300","1,750",27/3,36/6,515,1610000
100 Darter (S.L. Industries),Piston,275,152,143,54,80,"1,135",1605,1495,"3,350","2,050",27/3,36/2,583,1625000
Vision Jet SF50,Piston,245,153,139,56,80,"1,050",1670,1495,"3,350","2,030",27/3,36/2,603,1600000
Columbia 400 LC-41,Piston,300,157,148,55,80,"1,090",1670,1495,"3,350","2,050",27/3,36/2,600,1600000
Columbia 350 LC-42,Piston,240,153,139,56,80,"1,090",1670,1495,"3,350","2,015",27/3,36/2,610,1600000
100 Darter (S.L. Industries),Piston,310,113,106,58,54,510,2060,1265,"4,400","2,322",26/6,41/8,283,1400000
115TC,Piston,300,106,101,57,54,465,2250,1265,"4,200","2,230",25/11,41/8,290,780000
100 Darter (S.L. Industries),Piston,300,107,103,55,54,525,1965,1265,"4,000","2,179",25/11,40/9,290,870000
114TC,Piston,300,105,98,50,54,690,1090,1265,"4,200","2,220",26/3,41/8,290,1110000
100 Darter (S.L. Industries),Piston,300,105,98,50,37,690,1090,1265,"4,000","2,189",26/3,40/9,278,1110000
"114,('76-24/10 length + less performance)",Piston,230,91,78,50,37,400,1920,1265,"3,800","1,900",25/3,40/9,204,650000
100 Darter (S.L. Industries),Piston,230,94,83,50,37,460,1740,1265,"3,800","1,835",25/3,40/9,204,770000
112B,Piston,300,131,123,50,37,940,970,1265,"3,300","1,845",26/3,40/4,278,1570000
100 Darter (S.L. Industries),Piston,230,103,101,50,37,710,1365,1265,"3,300","1,815",25/3,40/4,204,1300000
112,Piston,300,136,130,50,88,950,1710,1480,"3,100","2,253",27/6,35/10,500,1610000
Top Cub,Piston,300,141,134,52,88,960,2125,1565,"3,320","1,998",27/0,35/10,522,1640000
100 Darter (S.L. Industries),Piston,300,155,145,49,88,"1,075",1430,1400,"3,350","1,750",25/8,35/10,645,1790000
Falcon 900 (3-eng fan jet),Piston,300,155,147,51,65,"1,040",1330,1400,"3,350","1,565",25/6,36/2,470,1750000
100 Darter (S.L. Industries),Piston,300,153,145,54,65,950,1290,1285,"3,300","1,560",25/6,36/2,470,1690000
Falcon 200,Piston,260,153,145,54,65,"1,000",1510,1265,"3,200","1,520",25/5,36/0,561,1730000
100 Darter (S.L. Industries),Piston,235,187,173,50,92,"1,040",1570,1320,"3,100","1,846",28/8,35/10,845,2000000
Falcon Fan Jet D 20,Piston,235,160,156,50,92,"1,140",1570,1320,"3,100","1,809",28/8,35/10,845,1800000
100 Darter (S.L. Industries),Piston,235,168,157,49,92,965,1475,1350,"3,100","1,781",28/5,35/10,743,2000000
Falcon F 20,Piston,235,176,159,49,92,"1,040",1385,1350,"3,100","2,075",29/0,36/0,971,2000000
100 Darter (S.L. Industries),Piston,230,150,145,49,92,924,1514,1350,"3,100","1,970",29/0,36/0,930,1810000
Falcon Fan Jet 10,Piston,230,143,140,46,88,924,1625,1280,"3,110","1,882",28/0,16/0,813,1810000
100 Darter (S.L. Industries),Piston,230,146,142,49,92,865,1515,1350,"3,100","1,775",28/0,35/10,817,1490000
DHC 6-300 Twin Otter Std. + '77-'78=less perf.,Piston,230,148,143,50,92,"1,010",1350,1350,"2,950","1,754",28/0,35/10,817,1650000
100 Darter (S.L. Industries),Piston,230,146,139,50,65,890,1350,1350,"2,950","1,640",28/1,35/10,550,1770000
DHC 6-200 Twin Otter,Piston,230,148,141,48,65,980,1205,1350,"2,800","1,620",28/5,36/2,550,1890000
Twin Star Diamond DA42,Piston,230,148,141,48,65,980,1205,1350,"2,800","1,610",27/4,36/2,550,1890000
100 Darter (S.L. Industries),Piston,230,148,141,54,55,"1,030",1080,1310,"2,650","1,560",26/0,36/0,450,1980000
Katana DA20-C1,Piston,230,143,135,54,55,"1,120",1020,1290,"2,550","1,540",26/0,36/0,443,2010000
100 Darter (S.L. Industries),Piston,230,137,123,48,88,970,1900,1720,"2,950","2,204",27/6,35/10,804,1530000
100 Darter (S.L. Industries),Piston,230,137,123,48,61,990,2070,1720,"2,950","2,110",27/6,35/10,804,1600000
TB-21 TC Trinidad,Piston,230,137,123,48,61,990,2070,1720,"2,950","1,955",27/0,35/10,804,1600000
100 Darter (S.L. Industries),Piston,230,137,123,48,88,910,,,"2,800","1,790",28/10,35/10,804,1470000
TB-200XL,Piston,230,148,141,48,88,"1,100",1205,1365,"2,800","1,701",25/8,35/10,804,1770000
100 Darter (S.L. Industries),Piston,230,148,141,50,65,"1,090",1205,1365,"2,800","1,525",25/6,36/2,622,1960000
TB-9 Tampico Club,Piston,230,148,139,54,55,"1,130",1080,1330,"2,650","1,555",26/0,36/0,513,2150000
Eclipse 500,Piston,225,144,137,51,55,"1,110",1095,1310,"2,550","1,540",26/0,36/0,513,2120000
100 Darter (S.L. Industries),Piston,200,157,149,50,61,925,1585,1350,"2,800","1,765",27/3,35/6,500,1710000
Eurofox,Piston,200,153,144,50,51,860,1585,1350,"2,800","1,630",27/3,35/6,506,1690000
Excalibur '800' conv. Beech Twin Bonanza,Piston,180,139,130,46,50,840,1400,1220,"2,500","1,643",27/3,35/6,490,1460000
Excalibur conv. Beech Twin Bonanza,Piston,180,133,123,46,50,840,1400,1220,"2,500","1,485",27/3,35/6,417,1460000
100 Darter (S.L. Industries),Piston,180,130,120,49,49,760,1575,1220,"2,500","1,440",27/0,35/7,410,1580000
"Queen Air '8800' conv. Beech A80,B80",Piston,150,125,117,46,49,670,1575,1135,"2,350","1,415",27/0,35/7,591,1270000
"Metro III,A",Piston,175,123,118,56,52,790,1450,1170,"2,450","1,325",25/0,36/0,589,1450000
"Metro, II (prior '79 height=16/10)",Piston,175,128,121,54,52,850,1340,1155,"2,350","1,312",25/0,36/0,593,1590000
100 Darter (S.L. Industries),Piston,180,144,140,50,66,800,1775,1340,"2,650","1,627",27/5,35/10,720,1680000
Merlin IV C,Piston,180,123,122,48,54,680,1690,1335,"2,550","1,480",26/11,36/1,475,1700000
100 Darter (S.L. Industries),Piston,195,132,130,47,52,870,1360,1345,"2,550","1,572",27/2,35/10,570,1700000
Fairchild 300,Piston,180,126,124,48,56,730,1630,1335,"2,550","1,663",27/2,36/1,638,1400000
100 Darter (S.L. Industries),piston,160,123,122,47,53,720,1685,1295,"2,457","1,600",26/11,36/1,580,1350000
"Merlin III C-23 (12,500 gross) (SN TT426 & up)",Piston,160,123,120,46,43,700,1625,1280,"2,400","1,454",26/11,35/10,440,1300000
100 Darter (S.L. Industries),Piston,160,124,122,44,43,770,1390,1250,"2,300","1,430",26/11,35/10,440,1420000
Merlin III A,Piston,150,122,115,44,42,645,1525,1250,"2,300","1,335",26/11,35/10,435,1310000
100 Darter (S.L. Industries),Piston,150,122,115,43,42,645,1525,1250,"2,300","1,315",26/11,35/9,417,1310000
Merlin II A,Piston,195,117,116,44,52,870,1850,1390,"2,550","1,834",26/10,35/10,539,1550000
CTSW,Piston,160,96,95,44,43,740,2160,1345,"2,220","1,632",26/8,35/10,440,1500000
800XP,Piston,150,98,97,44,42,715,2390,1345,"2,220","1,574",27/0,35/10,435,1200000
100 Darter (S.L. Industries),Piston,150,94,92,45,42,580,2390,1345,"2,220","1,450",27/0,35/9,435,1200000
G V,Piston,150,94,92,45,42,580,2390,1345,"2,220","1,405",26/7,35/9,418,1200000
100 Darter (S.L. Industries),Piston,150,122,115,43,42,645,1525,1250,"2,300","1,300",26/11,36/2,515,1310000
G IV,Piston,145,121,114,43,42,645,1525,1250,"2,300","1,330",26/6,36/2,515,1310000
100 Darter (S.L. Industries),Piston,145,121,114,43,42,675,1450,1200,"2,250","1,330",26/5,36/0,515,1420000
100 Darter (S.L. Industries),Piston,145,122,114,51,42,730,1370,1115,"2,200","1,325",26/5,36/0,515,1510000
GII (G1159) with tip tanks,Piston,145,117,108,50,37,660,1650,1115,"2,200","1,260",25/0,36/0,420,1330000
100 Darter (S.L. Industries),Piston,145,122,104,50,42,690,1820,1145,"2,200","1,205",25/0,36/0,410,1550000
GI (G-159) ceiling quoted w/APU,Piston,110,110,107,43,26,715,1340,1200,"1,670","1,141",24/1,33/2,315,1470000
"HS125-700,A (Hawk-Sidd mfg) ('77=24,200 gross)",Piston,100,109,106,42,26,670,1385,1075,"1,600","1,104",23/11,33/2,303,1400000
100 Darter (S.L. Industries),Piston,100,106,102,42,26,670,1385,1075,"1,600","1,060",23/9,33/2,303,1265000
BH-124-400A (Beech mfg),Piston,100,108,103,42,26,670,1385,1075,"1,600","1,040",23/9,32/9,303,1400000
100 Darter (S.L. Industries),Piston,100,104,100,42,26,670,1385,1075,"1,600","1,020",23/9,32/9,303,1265000
1124A Westwind 2,Piston,100,106,102,42,26,670,1385,1075,"1,600","1,065",23/9,32/9,303,1265000
100 Darter (S.L. Industries),Piston,100,90,85,43,26,560,2075,850,"1,650","1,120",24/1,32/9,276,1070000
1123 Commodore Jet,Piston,100,109,102,43,26,670,1375,1075,"1,600",970,23/9,32/8,303,1265000
100 Darter (S.L. Industries),Piston,100,108,105,43,26,740,1205,1055,"1,500",965,21/1,33/4,320,1530000
1121 Jet Commander,Piston,100,108,104,47,26,740,1205,1055,"1,500",962,21/0,33/4,318,1530000
J250-SP,Piston,90,103,90,46,21,640,1850,1530,"1,500",850,20/9,33/3,315,1560000
J230-SP,Piston,85,102,88,46,21,620,1950,1530,"1,500",850,20/9,33/3,315,1510000
LA-4 Amphibian,Piston,85,104,100,43,25,640,1850,1530,"1,450",818,20/9,32/8,390,1550000
C-1 Amphibian,Jet,1846,311,305,67,2000,1609,3192,,6000,3550,30/7,38/7,1275,3100000
LA-4-200 Buccaneer (land specs),Piston,310,235,181,57,106,,1250,2350,"3,600","2,500",25/2,35/8,"1,300",2500000
XL2,Piston,310,235,179,57,106,,1250,2350,"3,400",2.3,25/2,35/8,"1,300",1800000
Jetstar -8,Piston,310,235,190,57,106,,1250,2350,"3,400","2,250",25/2,36,"1,300",1800000
100 Darter (S.L. Industries),Piston,270,197,187,59,90,"1,050",2223,1312,"3,305","2,152",24/11,32/10,870,2500000
8:00 AM,Piston,265,164,149,54,90,"1,070",1985,1200,"3,250","2,102",24/11,32/10,"1,005",1680000
Superstar I (601P Aerostar),Piston,270,197,177,59,90,"1,050",2223,1312,"3,305","2,151",24/11,32/9,870,2500000
MX-7-160,Piston,260,166,157,54,68,"1,030",2150,1200,"3,260","2,070",25/1,32/9,665,1650000
MX-7-180A,Piston,260,166,157,55,68,"1,088",1990,1200,"3,140","1,905",25/1,32/9,665,1740000
M-7-235,Piston,210,170,163,54,48,914,1750,1275,"2,950","2,035",25/1,35/7,620,2000000
100 Darter (S.L. Industries),Piston,200,150,142,51,48,950,1829,1039,"2,800","1,773",25/1,35/7,575,1505000
M-5-235C,Piston,200,149,140,54,48,"1,020",1585,1310,"2,650","1,691",24/10,32/9,569,1390000
100 Darter (S.L. Industries),Piston,200,152,143,53,60,"1,000",1460,1310,"2,550","1,530",24/11,32/9,750,1700000
100 Darter (S.L. Industries),Piston,180,132,110,42,54,800,,,"2,300","1,200",23/6,35/2,555,1800000
M-5-180C,Piston,100,122,103,27,25,790,975,1040,"1,320",825,23/3,34/2,434,1800000
MU-300 Diamond II,Jet,"4,750",513,459,81,19165,"4,000",4950,3500,"45,500","22,573",66/4,63/5,"4,400",4100000
100 Darter (S.L. Industries),Jet,"4,500",513,459,81,19165,"3,500",5300,3500,"45,500","22,573",66/4,63/5,"4,200",3900000
MU-300 Diamond I,Jet,"3,700",518,430,77,15520,"3,430",4700,2800,"38,800","21,100",60/9,61/10,"3,500",4100000
100 Darter (S.L. Industries),Jet,"5,200",521,435,89,10684,"3,065",5260,2860,"32,000","18,800",56/3,53/6,"2,500",3900000
"MU-2L,-2N (-2N empty weight=7,760)",Jet,"4,125",530,457,90,8420,"3,500",3800,2940,"26,455","16,600",56/3,53/6,"1,200",4200000
100 Darter (S.L. Industries),Jet,"4,250",512,457,90,8980,"3,500",6400,4850,"27,337","15,400",56/3,53/6,"1,630",4200000
MU-2J,Jet,"4,315",530,458,84.5,9250,"3,300",5000,3300,"28,660","15,970",56/3,53/6,"1,610",4200000
100 Darter (S.L. Industries),Jet,"4,500",530,410,88,9098,"3,330",4950,2450,"28,660","17,500",56/3,53/6,"1,614",3700000
MU-2F,Jet,"3,230",513,459,84,5912,"4,600",4615,2750,"19,300","11,200",45/6,42/11,"1,828",3900000
100 Darter (S.L. Industries),Jet,"3,230",513,459,88,5912,"4,600",4615,2750,"18,740","10,800",45/6,42/11,"1,828",4500000
Acclaim (M20TN),Jet,"3,230",459,426,92,5910,"4,200",4300,3300,"18,300","10,800",45/4,42/11,"1,800",4500000
TLS (M20M),Propjet,620,182,170,58,2583,"1,600",1500,1940,"12,500","6,881",51/9,65/0,300,2670000
100 Darter (S.L. Industries),Propjet,620,182,171,64,2457,"1,600",1940,1940,"12,500","7,487",51/9,65/0,300,2670000
PFM (M20L),Propjet,579,165,150,57,2457,"1,300",1900,1995,"11,579","7,250",51/9,65/0,,2430000
Encore (MS20K),Piston,135,194,172,56,52,"1,280",1730,1877,"3,935","2,765",28/1,44/6,"1,129",1800000
100 Darter (S.L. Industries),Piston,81,161,117,37,20,680,1560,1490,"1,609","1,095",23/6,35/7,526,nan
205 (M20J),Piston,125,163,132,34,25,"1,105",1263,1235,"1,654","1,166",23/6,35/8,422,nan
M-20C Ranger ('77-'78),Propjet,850,320,255,,1887,"1,380",2840,2430,"7,394","4,698",34/11,41/7,"1,520",3100000
M-20-E Super 21 Chaparral,Propjet,700,300,291,61,1887,"2,380",1591,2034,"6,579","4,050",34/11,41/7,"1,563",3000000
100 Darter (S.L. Industries),Piston,250,200,187,54,86,"1,125",1953,1750,"3,083","1,795",25/4,32/6,,2500000
M-20-B Mark 21,Piston,250,167,160,54,86,"1,260",1953,1750,"3,083","1,744",25/4,32/6,"1,100",2000000
100 Darter (S.L. Industries),Piston,200,,115,,55,937,1561,1474,"2,535","1,642",25/5,32/10,637,1600000
M-20-Mark 20,Piston,180,132,117,51,54,790,1657,1394,"2,535","1,477",25/0,32/0,,1300000
100 Darter (S.L. Industries),Piston,160,,106,50,41,738,1706,1378,"2,337","1,411",25/3,32/0,,1100000
H-Rangemaster (1975-'76),Jet,900,.64 Mach,426,69,1686,"3,314",2297,2155,"5,920","3,550",33/6,37/11,"1,300",4100000
100 Darter (S.L. Industries),Propjet,750,221,181,71,440,"1,650",4000,4400,"13,007","8,007",49/6,50/3,,2150000
100 Darter (S.L. Industries),Piston,100,164,120,46,23,"1,000",,,"1,235",644,18/7,29/11,600,1400000
100 Darter (S.L. Industries),Piston,400,226,213,71,230,"1,870",1525,1940,"7,600","5,100",31/5,46/0,,2220000
PA-31-350 Chieftain ('81=optional fuel),Piston,380,239,226,71,230,"1,900",1225,1840,"7,300","4,500",31/5,46/0,,3000000
100 Darter (S.L. Industries),Piston,400,213,201,68,230,"1,535",1706,2176,"8,000","5,400",N/C,N/C,,2220000
"PA-31-310 Turbo Navajo B,C (prior '80 less fuel)",Piston,400,213,201,70,264,"1,490",2050,2450,"8,800","5,800",N/C,N/C,,2000000
PA-31-300 Navajo,Propjet,"1,000",280,248,88,648,"2,635",3495,,"14,500","8,737",59/4,57/0,"1,827",2990000
100 Darter (S.L. Industries),Propjet,940wet,,256,86,648,"2,400",2050,1970,"12,500","8,000",59/4,46/3,"1,250",2700000
PA-23 E Turbo Aztec (1971 length=30/2),Propjet,"1,000",278,248,88,648,"2,635",3340,2970,"14,500","9,200",59/4,57/0,"2,040",2990000
100 Darter (S.L. Industries),Propjet,1000 dry,283,261,87,648,"2,440",2850,2532,"14,000","9,100",59/4,57/0,"2,040",3000000
"PA-23 D,E Aztec (prior '72 length=30/2)",Propjet,840,270,,86,544,"2,400",2050,1970,"12,500","8,200",59/4,46/3,"1,815",2700000
100 Darter (S.L. Industries),Propjet,900,303,264,92,648,"2,650",3080,2805,"13,230","8,200",42/2,47/11,"2,178",2940000
PA-23 C Aztec,Propjet,900,300,265,92,648,"2,650",2920,3530,"13,230","8,150",42/2,46/3,"2,025",2700000
100 Darter (S.L. Industries),Propjet,900,303,264,89,648,"2,800",2400,3360,"12,500","8,090",42/2,46/3,"2,025",2940000
"PA34-180, Seneca V",Propjet,900,309,295,89,648,"2,780",2970,3240,"12,500","7,800",42/2,46/3,"2,025",3140000
100 Darter (S.L. Industries),Propjet,840,283,,83,648,"2,530",2150,1570,"12,500","7,600",42/2,46/3,"2,670",2890000
PA-34-220T Seneca III (roc=t/o power),Propjet,665,,257,76,386,"2,780",2970,3240,"10,000","6,150",40/1,45/10,"1,318",2990000
100 Darter (S.L. Industries),Propjet,550,,235,75,386,"1,950",2300,2380,"9,800","6,075",40/1,45/10,"1,250",3100000
100 Darter (S.L. Industries),Piston,100,120,112,39,34,960,,,"1,320",649,20/4,28,1080,1400000
100 Darter (S.L. Industries),Piston,100,145,119,35,29,850,1050,1100,"1,320",760,20/4,31/6,730,1320000
PA-39 C/R Turbo Twin Comanche,Piston,100,133,116,36,18,850,1450,1410,"1,320",820,20/6,20/6,400,1320000
PA-30 B Turbo Twin Comanche,Jet,"14,750",516,459,,41000,,5870,2950,"89,400","46,800",96/5,93/6,"6,500",5100000
100 Darter (S.L. Industries),Jet,"13,850",505,459,115,29500,"4,122",5450,3190,"75,000","42,500",88/4,77/10,"4,220",4500000
PA-23-150 Apache,Jet,"13,850",510,459,108,29500,"4,219",5265,3393,"73,200","42,500",88/4,77/10,"4,420",4500000
100 Darter (S.L. Industries),Jet,"11,400",503,459,104,28300,"4,049",5115,3250,"69,700","38,000",83/1,77/10,"3,767",4500000
100 Darter (S.L. Industries),Jet,"11,400",503,459,103,28300,"4,049",5115,3250,"69,700","38,150",79/11,77/10,"3,680",4500000
PA-24-C 260 Comanche,Jet,"11,400",503,459,103,26800,"4,240",5750,3168,"65,500","37,186",79/11,72/6,"2,795",4500000
100 Darter (S.L. Industries),Jet,"11,400",503,459,108,23300,"4,345",5625,3198,"64,800","36,544",79/11,68/11,"2,592",4500000
PA-32R-301T Saratoga II TC,Propjet,"1,950",340,299,87,10463,"1,900",,,"36,000","23,008",63/9,78/4,"2,164",3000000
100 Darter (S.L. Industries),Jet,"3,700",443,400,87,9450,"3,000",5800,3600,"24,800","14,150",50/9,47/0,,4100000
PA-32-300 '73-74 hgt=7/9 ('79 fuel=94 gal),Jet,"3,750",456,435,83,9450,"4,500",4850,2125,"25,000","12,865",50/6,47/0,,4100000
100 Darter (S.L. Industries),Jet,"3,360",443,385,77,9100,"3,100",5000,1990,"23,300","11,920",47/5,47/0,,4100000
PA-32-260 ('74-'78) 1974 height=7/9,Jet,"3,360",443,385,79,9100,"4,150",3800,2450,"22,700","12,000",47/5,47/0,,4100000
100 Darter (S.L. Industries),Jet,"3,700",476,415,89,9580,"3,500",5250,2350,"23,500","12,800",52/3,44/9,"2,904",4500000
"PA-28R-,RT-,201T Turbo Arrow III, IV",Jet,"3,700",471,426,90,8710,"3,200",4950,2450,"22,850","12,500",52/3,44/9,"2,440",4500000
100 Darter (S.L. Industries),Jet,"3,100",471,426,87,8620,"4,040",5750,2900,"20,700","11,500",52/3,44/8,"1,450",4500000
PA-28-200R Arrow II (1973-'76),Jet,"2,950",471,426,84,7350,"5,000",5450,3900,"18,500","10,500",50/5,43/3,"1,100",4500000
100 Darter (S.L. Industries),Jet,"2,850",471,426,82,6250,"4,400",5400,3900,"17,500","10,500",50/5,43/3,950,4000000
100 Darter (S.L. Industries),Piston,120,125,120,39,36,700,,,"1,320",780,21/5,30/0,840,1500000
PA-28 180 Challenger & Archer,Piston,120,130,120,39,35,700,,,"1,320",800,21/5,32/5,800,1500000
